"","MSE_FM","MSE_DM","MSE_FM_MSE_DM"
"1",7860884177543.74,6858246877294.05,1.14619440189142
"2",7735667162589.28,6736986834780.51,1.14823842651034
"3",8236787023845.17,7182875968937.99,1.14672549817995
"4",5435960170309.33,4541764710271.74,1.1968828235455
"5",5423139131591.71,4547058801386.86,1.19266967252274
"6",5417535950078.29,4554237424608.38,1.18955940259178
"7",5426906789738.06,4568932302863.55,1.18778446035123
"8",5339349389869.02,4463193402973.46,1.19630697300992
"9",5339349389869.02,4463193402973.46,1.19630697300992
"10",5336582867344.68,5336582867344.68,1
